Title,Views,Duration,Duration_seconds,Video_Type
How to Start Coding in 2024? Learn Programming in 2024 for Beginners 🔥,,12:21,741,Mini Video
Hosting an Express App on Ubuntu VPS using Hostinger | Sigma Web Development Course - Tutorial #104,37000.0,18:12,1092,Long Video
What is Hosting? Where to Host? Which Hosting? | Sigma Web Development Course - Tutorial #103,55000.0,18:12,1092,Long Video
Exercise 17 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #102,24000.0,21:41,1301,Long Video
How to quickly build a website with Elementor Hosting and AI 🔥,25000.0,21:41,1301,Long Video
"SyncFusion: A UI Component Suite for Building Powerful Web, Desktop, and Mobile Apps",14000.0,10:42,642,Mini Video
X.com (Twitter) Clone using Tailwind CSS | Sigma Web Development Course - Tutorial #101,146000.0,10:42,642,Mini Video
Exercise 17 - Design This Layout | Sigma Web Development Course - Tutorial #100,35000.0,7:56,476,Mini Video
Creating Cost Calculator in Wordpress | Cost Calculator Plugin for WordPress 🔥,7700.0,7:56,476,Mini Video
Lets build a Portfolio Website using Hostinger AI Builder 🔥,26000.0,11:39,699,Mini Video
Exercise 16 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #99,32000.0,11:39,699,Mini Video
Tailwind CSS in one Video | Sigma Web Development Course - Tutorial #98,145000.0,3:07:17,11237,Very Long Video
Exercise 16 - Dummy Data Generator | Sigma Web Development Course - Tutorial #97,28000.0,3:07:17,11237,Very Long Video
Installing Mongoose & Using it with Express | Sigma Web Development Course - Tutorial #96,59000.0,23:51,1431,Long Video
CRUD Operations in MongoDB | Sigma Web Development Course - Tutorial #95,58000.0,23:51,1431,Long Video
Installing MongoDB & MongoDB Compass | Sigma Web Development Course - Tutorial #94,121000.0,4:49:02,17342,Very Long Video
Exercise 15 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #93,36000.0,4:49:02,17342,Very Long Video
ejs Template Engine in Express | Sigma Web Development Course - Tutorial #92,64000.0,9:53,593,Mini Video
Exercise 15 - Clear the Clutter | Sigma Web Development Course - Tutorial #91,36000.0,9:53,593,Mini Video
This Chrome Extension will BLOW YOUR MIND 🤯| Be Fearless online 🔥,183000.0,10:27,627,Mini Video
Middlewares in Express Js | Sigma Web Development Course - Tutorial #90,66000.0,10:27,627,Mini Video
"Response, Request and Routers in Express | Sigma Web Development Course - Tutorial #89",76000.0,11:56,716,Mini Video
Introduction to Express Js | Sigma Web Development Course - Tutorial #88,94000.0,11:56,716,Mini Video
"🤑₹3,30,000 New Year Gift for Myself -  Lifestyle Upgrade! 😍",243000.0,6:00,360,Mini Video
Working with Files: fs and path Modules | Sigma Web Development Course - Tutorial #87,68000.0,6:00,360,Mini Video
CommonJs Vs EcmaScript Modules | Sigma Web Development Course - Tutorial #86,95000.0,5:38,338,Mini Video
Exploring MyKode Framework for rapid development of Single Page Applications,9100.0,5:38,338,Mini Video
"Backend, Node.js & npm | Sigma Web Development Course - Tutorial #85",173000.0,19:28,1168,Long Video
"Spotify Clone using HTML, CSS & JavaScript | Sigma Web Development Course - Tutorial #84",611000.0,19:28,1168,Long Video
JavaScript Interview Questions | Sigma Web Development Course - Tutorial #83,88000.0,13:53,833,Mini Video
How to host a Front End react app on a Linux Server (Beginner Tutorial) 🔥,14000.0,13:53,833,Mini Video
Create your own VPN using Pritunl on Linux VPS 🔥,20000.0,1:08:13,4093,Very Long Video
Advanced JavaScript | Sigma Web Development Course - Tutorial #82,80000.0,1:08:13,4093,Very Long Video
JavaScript Exercise 14 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #81,59000.0,5:00,300,Mini Video
Classes & Objects - Object Oriented Programming in Js | Sigma Web Development Course - Tutorial #80,80000.0,5:00,300,Mini Video
Julius AI: An Amazing Conversational AI for Data Science with File Upload🔥,25000.0,9:07,547,Mini Video
Code 10x Faster with Pieces for Developers Developer Productivity Platform (It's Game Changing) 🔥,63000.0,9:07,547,Mini Video
JavaScript try catch & Error Handling | Sigma Web Development Course - Tutorial #79,73000.0,3:51,231,Mini Video
JavaScript Exercise 14 - Hacker's Terminal | Sigma Web Development Course - Tutorial #78,60000.0,3:51,231,Mini Video
OneEntry CMS Tutorial: Management system for apps and websites🔥,10000.0,21:48,1308,Long Video
JavaScript Exercise 13 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #77,77000.0,21:48,1308,Long Video
Machine Learning & Artificial Intelligence tools from AWS you must know,18000.0,10:49,649,Mini Video
Async/Await & Fetch API in JavaScript with Examples | Sigma Web Development Course - Tutorial #76,136000.0,10:49,649,Mini Video
Website Using Pure Python: Lets build a Stock Simulator Using Taipy 🔥,31000.0,11:56,716,Mini Video
JavaScript Callbacks & Promises | Sigma Web Development Course - Tutorial #75,160000.0,11:56,716,Mini Video
"Events, Event Bubbling, setInterval & setTimeout | Sigma Web Development Course - Tutorial #74",135000.0,9:44,584,Mini Video
JavaScript Exercise 13 - Dynamic Website Builder | Sigma Web Development Course - Tutorial #73,92000.0,9:44,584,Mini Video
JavaScript Exercise 12 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #72,80000.0,2:28:15,8895,Very Long Video
Inserting and Removing Elements using JavaScript | Sigma Web Development Course - Tutorial #71,140000.0,2:28:15,8895,Very Long Video
Earn by Building Apps with this Low Code Tool | FlutterFlow Tutorial 🔥,360000.0,9:48,588,Mini Video
JavaScript Exercise 12 - Color the Boxes | Sigma Web Development Course - Tutorial #70,81000.0,9:48,588,Mini Video
Acorn: A Platform to Develop and Run Your Apps on the Cloud 🔥,10000.0,10:06,606,Mini Video
JavaScript Exercise 11 - Solution & Shoutouts | Sigma Web Development Course - Tutorial #69,84000.0,10:06,606,Mini Video
"JavaScript -  Selecting by Ids, Classes, and More | Sigma Web Development Course - Tutorial #68",124000.0,11:25,685,Mini Video
"JavaScript DOM - Children, Parent & Sibling Nodes | Sigma Web Development Course - Tutorial #67",141000.0,11:25,685,Mini Video
Document Object Model in JavaScript | Sigma Web Development Course - Tutorial #66,141000.0,12:34,754,Mini Video
How to build a WordPress website with Elementor in 15 Minutes 🔥,97000.0,12:34,754,Mini Video
All About Machine Learning & Deep Learning in 2024 🔥,638000.0,9:51,591,Mini Video
JavaScript Exercise 11 - Calculate the Factorial | Sigma Web Development Course - Tutorial #65,84000.0,9:51,591,Mini Video
5 Health Tips for All Programmers | How to Stay Healthy as a Programmer ft @TheSleepCompany Ultron,133000.0,14:04,844,Mini Video
JavaScript Exercise 10 - Solution | Sigma Web Development Course - Tutorial #64,102000.0,14:04,844,Mini Video
,,10:18,618,Mini Video
,,10:18,618,Mini Video
,,12:22,742,Mini Video
,,12:22,742,Mini Video
,,13:16,796,Mini Video
,,13:16,796,Mini Video
,,7:48,468,Mini Video
,,7:48,468,Mini Video
,,15:49,949,Long Video
,,15:49,949,Long Video
,,20:37,1237,Long Video
,,20:37,1237,Long Video
,,11:12,672,Mini Video
,,11:12,672,Mini Video
,,12:25,745,Mini Video
,,12:25,745,Mini Video
,,19:37,1177,Long Video
,,19:37,1177,Long Video
,,31:29,1889,Long Video
,,31:29,1889,Long Video
,,14:00,840,Mini Video
,,14:00,840,Mini Video
,,14:49,889,Mini Video
,,14:49,889,Mini Video
,,16:17,977,Long Video
,,16:17,977,Long Video
,,4:53,293,Mini Video
,,4:53,293,Mini Video
,,17:00,1020,Long Video
,,17:00,1020,Long Video
,,1:21:55,4915,Very Long Video
,,1:21:55,4915,Very Long Video
,,13:01,781,Mini Video
,,13:01,781,Mini Video
,,9:16,556,Mini Video
,,9:16,556,Mini Video
,,13:19,799,Mini Video
,,13:19,799,Mini Video
,,16:35,995,Long Video
,,16:35,995,Long Video
,,6:11,371,Mini Video
,,6:11,371,Mini Video
,,19:06,1146,Long Video
,,19:06,1146,Long Video
,,43:26,2606,Long Video
,,43:26,2606,Long Video
,,8:10,490,Mini Video
,,8:10,490,Mini Video
,,14:44,884,Mini Video
,,14:44,884,Mini Video
,,26:06,1566,Long Video
,,26:06,1566,Long Video
,,11:19,679,Mini Video
,,11:19,679,Mini Video
,,26:53,1613,Long Video
,,26:53,1613,Long Video
,,40:38,2438,Long Video
,,40:38,2438,Long Video
,,14:00,840,Mini Video
,,14:00,840,Mini Video
,,24:06,1446,Long Video
,,24:06,1446,Long Video
,,38:08,2288,Long Video
,,38:08,2288,Long Video
,,11:49,709,Mini Video
,,11:49,709,Mini Video
,,17:38,1058,Long Video
,,17:38,1058,Long Video
,,18:59,1139,Long Video
,,18:59,1139,Long Video
,,2:27:49,8869,Very Long Video
,,2:27:49,8869,Very Long Video
,,3:14,194,Mini Video
,,3:14,194,Mini Video
,,15:44,944,Long Video
,,15:44,944,Long Video
,,33:07,1987,Long Video
,,33:07,1987,Long Video
,,22:44,1364,Long Video
,,22:44,1364,Long Video
,,33:58,2038,Long Video
,,33:58,2038,Long Video
,,5:42,342,Mini Video
,,5:42,342,Mini Video
,,23:19,1399,Long Video
,,23:19,1399,Long Video
,,17:21,1041,Long Video
,,17:21,1041,Long Video
,,24:33,1473,Long Video
,,24:33,1473,Long Video
,,17:33,1053,Long Video
,,17:33,1053,Long Video
,,21:28,1288,Long Video
,,21:28,1288,Long Video
,,4:53,293,Mini Video
,,4:53,293,Mini Video
,,9:53,593,Mini Video
,,9:53,593,Mini Video
,,19:05,1145,Long Video
,,19:05,1145,Long Video
,,27:55,1675,Long Video
,,27:55,1675,Long Video
,,20:39,1239,Long Video
,,20:39,1239,Long Video
,,6:22,382,Mini Video
,,6:22,382,Mini Video
,,17:32,1052,Long Video
,,17:32,1052,Long Video
,,17:46,1066,Long Video
,,17:46,1066,Long Video
,,11:54,714,Mini Video
,,11:54,714,Mini Video
,,17:20,1040,Long Video
,,17:20,1040,Long Video
,,5:35:39,20139,Very Long Video
,,5:35:39,20139,Very Long Video
,,21:08,1268,Long Video
,,21:08,1268,Long Video
,,7:21,441,Mini Video
,,7:21,441,Mini Video
,,11:02,662,Mini Video
,,11:02,662,Mini Video
,,14:23,863,Mini Video
,,14:23,863,Mini Video
,,18:41,1121,Long Video
,,18:41,1121,Long Video
,,20:43,1243,Long Video
,,20:43,1243,Long Video
,,20:31,1231,Long Video
,,20:31,1231,Long Video
,,18:57,1137,Long Video
,,18:57,1137,Long Video
,,15:59,959,Long Video
,,15:59,959,Long Video
,,3:58,238,Mini Video
,,3:58,238,Mini Video
,,34:46,2086,Long Video
,,24:13,1453,Long Video
,,10:11,611,Mini Video
,,23:41,1421,Long Video
,,43:09,2589,Long Video
,,32:24,1944,Long Video
,,27:51,1671,Long Video
,,6:14,374,Mini Video
,,17:27,1047,Long Video
,,23:48,1428,Long Video
,,33:25,2005,Long Video
,,3:54,234,Mini Video
,,14:50,890,Mini Video
,,11:52,712,Mini Video
,,18:15,1095,Long Video
,,18:56,1136,Long Video
,,8:51,531,Mini Video
,,19:46,1186,Long Video
,,15:20,920,Long Video
,,3:23,203,Mini Video
,,14:06,846,Mini Video
,,11:28,688,Mini Video
